order_item_id,order_id ,product_id ,quantity ,total_price
1,600,42,1,19187
2,1433,31,2,109674
3,1870,65,1,80053
4,1481,72,1,28435
5,109,91,3,36504
6,1474,20,4,73144
7,1361,53,1,84749
8,462,9,3,322680
9,64,10,3,242862
10,289,93,1,90445
11,61,84,3,8610
12,1208,43,1,11681
13,310,95,1,10925
14,481,45,1,83119
15,1377,33,2,26130
16,1723,28,1,14657
17,460,68,1,6469
18,859,98,2,118196
19,1954,14,3,322419
20,1648,20,1,18286
21,868,81,4,125152
22,1465,67,1,30927
23,1314,74,2,113012
24,1640,30,2,12290
25,1830,38,3,44631
26,1166,29,1,23764
27,986,87,1,19236
28,788,7,1,32711
29,492,70,4,48160
30,1298,49,1,61642
31,145,32,1,21660
32,224,96,1,94837
33,1390,59,1,128900
34,1577,37,1,2249
35,1778,68,1,6469
36,482,73,4,360368
37,1865,94,1,32444
38,713,12,3,359826
39,1265,74,1,56506
40,824,70,2,24080
41,104,69,2,27126
42,1380,54,1,14600
43,1272,43,3,35043
44,1869,85,1,3355
45,437,4,1,27983
46,1889,22,2,23972
47,1008,63,2,247084
48,1349,71,2,15578
49,1730,40,1,86599
50,1799,43,2,23362
51,1372,100,3,79353
52,166,66,1,37917
53,798,43,1,11681
54,881,1,2,37456
55,1829,92,1,43938
56,1718,30,1,6145
57,1485,92,1,43938
58,1939,43,1,11681
59,493,78,1,26269
60,1287,30,4,24580
61,922,51,2,94618
62,1390,42,1,19187
63,1852,40,1,86599
64,600,29,1,23764
65,115,90,1,48184
66,1511,78,4,105076
67,1484,50,2,70670
68,1578,93,3,271335
69,176,44,2,24466
70,725,71,2,15578
71,121,13,1,77776
72,243,29,1,23764
73,1494,58,1,102455
74,1846,50,4,141340
75,1272,5,1,72645
76,929,7,2,65422
77,1978,77,2,76716
78,1232,46,2,180350
79,669,97,1,91197
80,1246,83,1,8424
81,291,49,2,123284
82,475,94,1,32444
83,1867,28,1,14657
84,227,50,2,70670
85,901,41,1,11114
86,1090,32,1,21660
87,1723,49,1,61642
88,1996,47,1,75451
89,1330,54,2,29200
90,1065,96,1,94837
91,1676,46,1,90175
92,1333,32,2,43320
93,1900,52,2,38622
94,111,56,1,83501
95,1532,55,4,150100
96,450,69,2,27126
97,1341,4,4,111932
98,1852,34,1,16296
99,470,60,2,92290
100,673,12,2,239884
101,795,31,1,54837
102,1644,9,2,215120
103,1416,52,1,19311
104,275,58,3,307365
105,697,31,2,109674
106,438,52,2,38622
107,235,30,1,6145
108,1023,96,2,189674
109,584,29,1,23764
110,1304,74,2,113012
111,1165,22,1,11986
112,1922,3,2,178076
113,1335,17,2,79144
114,1263,56,2,167002
115,1599,44,1,12233
116,943,91,4,48672
117,193,28,4,58628
118,1070,13,3,233328
119,61,30,1,6145
120,807,85,3,10065
121,1999,37,1,2249
122,1531,80,1,15160
123,176,91,4,48672
124,1370,14,1,107473
125,230,90,1,48184
126,940,65,3,240159
127,1569,13,2,155552
128,1776,94,1,32444
129,1847,86,2,15328
130,799,86,2,15328
131,889,4,1,27983
132,1184,59,1,128900
133,1180,10,4,323816
134,431,22,2,23972
135,104,15,2,247694
136,145,18,1,5900
137,1046,44,1,12233
138,360,97,3,273591
139,217,43,1,11681
140,270,71,1,7789
141,102,28,4,58628
142,1388,16,3,418806
143,801,90,2,96368
144,58,41,4,44456
145,1857,98,1,59098
146,797,26,1,31932
147,1982,61,1,132454
148,387,61,1,132454
149,13,72,1,28435
150,1580,29,1,23764
151,1166,81,1,31288
152,1721,16,1,139602
153,335,16,1,139602
154,1840,94,1,32444
155,1829,50,4,141340
156,1958,17,1,39572
157,173,51,4,189236
158,1491,61,1,132454
159,1664,86,4,30656
160,40,49,4,246568
161,956,35,1,16427
162,1762,33,3,39195
163,624,82,1,4775
164,276,73,1,90092
165,1642,64,1,50610
166,707,32,1,21660
167,625,64,2,101220
168,764,23,1,36455
169,957,6,1,69980
170,1318,98,1,59098
171,140,1,4,74912
172,763,35,1,16427
173,123,30,2,12290
174,632,59,2,257800
175,939,6,3,209940
176,292,73,1,90092
177,416,40,1,86599
178,1289,99,2,10984
179,365,8,3,178560
180,440,22,1,11986
181,1533,97,1,91197
182,753,42,2,38374
183,1463,10,2,161908
184,1208,52,2,38622
185,1687,72,1,28435
186,1111,36,3,15198
187,1679,92,2,87876
188,693,78,2,52538
